iter	Passed	Remaining
0	2	238
1	4	219
2	6	206
3	8	192
4	10	200
5	12	200
6	14	195
7	16	191
8	18	187
9	20	181
10	21	177
11	23	174
12	26	178
13	29	182
14	31	181
15	34	180
16	37	180
17	39	178
18	41	177
19	43	173
20	45	170
21	47	167
22	48	162
23	49	157
24	50	152
25	51	147
26	53	143
27	54	139
28	55	135
29	56	131
30	57	127
31	58	124
32	59	120
33	60	116
34	61	113
35	61	110
36	62	106
37	63	103
38	64	100
39	64	97
40	65	94
41	65	90
42	66	88
43	67	85
44	68	83
45	69	81
46	70	79
47	70	76
48	71	74
49	72	72
50	72	70
51	73	67
52	74	65
53	74	63
54	75	61
55	75	59
56	76	57
57	77	55
58	77	54
59	78	52
60	79	50
61	79	48
62	81	47
63	81	46
64	82	44
65	83	42
66	83	41
67	84	39
68	85	38
69	85	36
70	86	35
71	87	33
72	87	32
73	88	31
74	89	29
75	89	28
76	90	26
77	91	25
78	91	24
79	92	23
80	92	21
81	93	20
82	94	19
83	94	18
84	95	16
85	96	15
86	97	14
87	97	13
88	98	12
89	99	11
90	99	9
91	100	8
92	101	7
93	101	6
94	102	5
95	102	4
96	103	3
97	104	2
98	104	1
99	105	0
